iter	Passed	Remaining
0	160	160129
1	162	81264
2	168	55909
3	173	43120
4	177	35365
5	181	30079
6	185	26277
7	189	23436
8	192	21147
9	194	19287
10	197	17740
11	199	16431
12	201	15314
13	204	14373
14	206	13548
15	208	12819
16	210	12182
17	213	11627
18	215	11116
19	217	10661
20	220	10260
21	222	9899
22	225	9563
23	227	9248
24	230	8979
25	232	8719
26	235	8477
27	237	8256
28	240	8052
29	242	7855
30	245	7672
31	248	7503
32	250	7340
33	253	7196
34	256	7061
35	258	6920
36	260	6786
37	263	6672
38	265	6552
39	268	6445
40	270	6338
41	273	6235
42	275	6140
43	278	6049
44	280	5960
45	283	5877
46	285	5797
47	287	5711
48	290	5628
49	292	5551
50	294	5479
51	296	5406
52	298	5340
53	300	5272
54	302	5205
55	304	5131
56	306	5073
57	308	5016
58	311	4961
59	313	4907
60	315	4857
61	317	4805
62	319	4755
63	321	4706
64	323	4658
65	325	4608
66	327	4560
67	329	4515
68	331	4471
69	333	4428
70	335	4388
71	337	4349
72	339	4311
73	341	4274
74	343	4238
75	345	4205
76	348	4175
77	350	4144
78	352	4112
79	354	4081
80	356	4050
81	359	4019
82	360	3988
83	363	3958
84	365	3933
85	367	3903
86	369	3873
87	370	3844
88	372	3816
89	374	3788
90	376	3762
91	378	3737
92	381	3716
93	382	3690
94	384	3664
95	386	3640
96	388	3617
97	390	3594
98	392	3572
99	394	3552
100	396	3531
101	398	3509
102	400	3487
103	402	3464
104	404	3444
105	405	3423
106	407	3404
107	410	3389
108	412	3372
109	414	3352
110	416	3334
111	418	3315
112	420	3297
113	421	3279
114	423	3261
115	426	3248
116	428	3232
117	430	3215
118	431	3197
119	433	3180
120	435	3163
121	437	3146
122	439	3132
123	441	3119
124	443	3106
125	445	3091
126	447	3076
127	449	3061
128	451	3046
129	453	3032
130	455	3021
131	457	3010
132	459	2997
133	461	2983
134	463	2969
135	465	2956
136	467	2943
137	469	2930
138	471	2918
139	473	2906
140	475	2894
141	476	2881
142	478	2868
143	480	2856
144	482	2844
145	484	2833
146	486	2821
147	488	2811
148	490	2801
149	492	2789
150	494	2778
151	496	2768
152	498	2756
153	500	2746
154	501	2736
155	503	2725
156	505	2715
157	507	2705
158	509	2695
159	511	2685
160	513	2675
161	515	2665
162	517	2655
163	518	2645
164	520	2636
165	522	2626
166	524	2616
167	526	2607
168	528	2597
169	530	2589
170	532	2580
171	534	2571
172	536	2563
173	538	2554
174	540	2545
175	541	2537
176	543	2528
177	545	2519
178	547	2511
179	549	2503
180	551	2495
181	553	2488
182	555	2479
183	557	2471
184	559	2463
185	561	2458
186	563	2450
187	565	2442
188	567	2433
189	569	2427
190	571	2419
191	572	2411
192	574	2403
193	577	2397
194	579	2391
195	581	2384
196	583	2376
197	585	2371
198	587	2363
199	589	2356
200	591	2349
201	592	2342
202	594	2335
203	596	2328
204	598	2321
205	600	2315
206	602	2308
207	604	2301
208	606	2295
209	608	2289
210	610	2282
211	612	2275
212	613	2268
213	615	2262
214	617	2255
215	619	2248
216	621	2242
217	623	2236
218	625	2230
219	627	2223
220	629	2217
221	631	2211
222	633	2205
223	634	2199
224	636	2193
225	638	2187
226	640	2181
227	642	2175
228	644	2170
229	646	2165
230	648	2159
231	650	2153
232	652	2147
233	654	2141
234	656	2135
235	657	2129
236	659	2123
237	661	2118
238	663	2113
239	665	2108
240	667	2103
241	669	2097
242	671	2092
243	673	2086
244	675	2081
245	677	2075
246	679	2070
247	681	2066
248	683	2060
249	685	2055
250	687	2050
251	688	2044
252	690	2039
253	692	2034
254	694	2029
255	696	2025
256	699	2021
257	701	2017
258	703	2012
259	704	2004
260	706	1999
261	708	1994
262	709	1989
263	712	1985
264	714	1980
265	715	1975
266	717	1970
267	719	1965
268	721	1960
269	723	1955
270	725	1950
271	727	1946
272	729	1941
273	731	1937
274	732	1932
275	734	1927
276	736	1922
277	738	1917
278	740	1912
279	742	1908
280	744	1904
281	746	1900
282	748	1895
283	749	1890
284	751	1886
285	753	1881
286	756	1878
287	758	1874
288	760	1870
289	762	1866
290	764	1861
291	765	1856
292	767	1852
293	769	1847
294	771	1844
295	773	1840
296	775	1836
297	777	1832
298	779	1827
299	781	1823
300	783	1818
301	784	1814
302	787	1810
303	789	1807
304	791	1804
305	793	1800
306	795	1796
307	797	1792
308	800	1789
309	802	1785
310	803	1781
311	805	1776
312	807	1773
313	809	1769
314	811	1765
315	813	1760
316	815	1756
317	817	1752
318	819	1748
319	821	1744
320	823	1740
321	825	1737
322	826	1733
323	828	1729
324	830	1724
325	832	1721
326	834	1717
327	836	1713
328	838	1709
329	840	1706
330	842	1702
331	844	1698
332	845	1694
333	847	1690
334	849	1686
335	851	1683
336	853	1679
337	855	1675
338	857	1671
339	859	1667
340	860	1663
341	862	1659
342	864	1655
343	866	1652
344	868	1648
345	870	1645
346	872	1641
347	874	1637
348	876	1634
349	878	1631
350	880	1627
351	882	1623
352	883	1619
353	885	1616
354	887	1613
355	889	1609
356	892	1606
357	894	1604
358	896	1600
359	898	1596
360	900	1593
361	902	1589
362	904	1586
363	906	1583
364	908	1579
365	909	1576
366	911	1572
367	913	1568
368	915	1565
369	917	1561
370	919	1558
371	921	1554
372	923	1551
373	924	1548
374	926	1544
375	928	1541
376	930	1537
377	932	1533
378	934	1531
379	936	1527
380	938	1524
381	940	1521
382	942	1517
383	944	1514
384	946	1511
385	947	1507
386	949	1504
387	952	1501
388	954	1499
389	956	1495
390	957	1492
391	959	1488
392	961	1485
393	963	1482
394	965	1478
395	967	1476
396	969	1473
397	971	1469
398	973	1466
399	975	1463
400	977	1460
401	979	1456
402	981	1453
403	983	1450
404	985	1447
405	987	1444
406	988	1440
407	990	1437
408	992	1434
409	994	1431
410	996	1428
411	998	1425
412	1000	1422
413	1002	1418
414	1004	1415
415	1006	1412
416	1007	1408
417	1009	1405
418	1011	1402
419	1013	1399
420	1015	1396
421	1017	1393
422	1019	1390
423	1021	1387
424	1022	1383
425	1024	1380
426	1026	1377
427	1028	1374
428	1030	1371
429	1032	1368
430	1034	1365
431	1035	1362
432	1037	1358
433	1039	1355
434	1041	1352
435	1043	1349
436	1045	1347
437	1047	1343
438	1049	1340
439	1051	1337
440	1053	1334
441	1054	1331
442	1056	1328
443	1058	1325
444	1060	1323
445	1062	1320
446	1064	1317
447	1066	1314
448	1068	1311
449	1070	1308
450	1072	1305
451	1074	1302
452	1076	1300
453	1078	1297
454	1080	1294
455	1082	1291
456	1084	1288
457	1085	1285
458	1087	1282
459	1089	1279
460	1091	1276
461	1093	1273
462	1095	1270
463	1097	1267
464	1099	1264
465	1101	1262
466	1103	1259
467	1105	1256
468	1107	1253
469	1109	1251
470	1111	1248
471	1113	1245
472	1115	1242
473	1117	1239
474	1119	1237
475	1121	1234
476	1123	1231
477	1125	1228
478	1126	1225
479	1128	1222
480	1130	1220
481	1132	1217
482	1135	1214
483	1137	1212
484	1138	1209
485	1140	1206
486	1142	1204
487	1144	1201
488	1146	1198
489	1148	1195
490	1150	1192
491	1152	1189
492	1154	1186
493	1156	1184
494	1158	1181
495	1160	1178
496	1162	1176
497	1164	1173
498	1166	1171
499	1168	1168
500	1170	1165
501	1172	1163
502	1174	1160
503	1176	1158
504	1179	1155
505	1181	1153
506	1182	1150
507	1184	1147
508	1186	1144
509	1188	1142
510	1190	1139
511	1192	1137
512	1194	1134
513	1196	1131
514	1198	1128
515	1200	1126
516	1203	1123
517	1205	1121
518	1207	1119
519	1210	1117
520	1212	1114
521	1214	1111
522	1216	1109
523	1218	1106
524	1220	1104
525	1223	1102
526	1225	1099
527	1227	1097
528	1229	1095
529	1231	1092
530	1233	1089
531	1236	1087
532	1238	1085
533	1240	1082
534	1243	1080
535	1245	1078
536	1247	1075
537	1249	1073
538	1251	1070
539	1254	1068
540	1256	1065
541	1258	1063
542	1260	1061
543	1262	1058
544	1265	1056
545	1268	1054
546	1270	1052
547	1273	1050
548	1275	1048
549	1278	1045
550	1280	1043
551	1282	1040
552	1285	1038
553	1287	1036
554	1289	1034
555	1292	1031
556	1294	1029
557	1296	1027
558	1298	1024
559	1301	1022
560	1303	1020
561	1305	1017
562	1307	1014
563	1310	1012
564	1312	1010
565	1314	1008
566	1317	1005
567	1319	1003
568	1321	1001
569	1323	998
570	1326	996
571	1328	993
572	1330	991
573	1332	989
574	1335	986
575	1336	984
576	1339	981
577	1341	979
578	1343	976
579	1348	976
580	1351	974
581	1354	972
582	1357	970
583	1360	969
584	1364	967
585	1367	965
586	1370	964
587	1373	962
588	1375	959
589	1378	957
590	1381	955
591	1383	953
592	1386	951
593	1388	949
594	1390	946
595	1393	944
596	1395	942
597	1398	939
598	1400	937
599	1402	934
600	1404	932
601	1406	930
602	1409	927
603	1411	925
604	1413	923
605	1416	920
606	1418	918
607	1420	915
608	1422	913
609	1424	910
610	1426	908
611	1428	905
612	1431	903
613	1433	900
614	1435	898
615	1436	895
616	1439	893
617	1441	891
618	1443	888
619	1445	885
620	1447	883
621	1449	881
622	1451	878
623	1453	875
624	1456	873
625	1458	871
626	1460	869
627	1462	866
628	1464	863
629	1466	861
630	1468	858
631	1470	856
632	1473	854
633	1475	851
634	1477	849
635	1479	846
636	1481	843
637	1482	841
638	1484	838
639	1487	836
640	1489	834
641	1491	831
642	1493	829
643	1495	826
644	1497	824
645	1499	821
646	1501	819
647	1503	816
648	1506	814
649	1508	812
650	1509	809
651	1511	806
652	1513	804
653	1515	801
654	1517	799
655	1520	797
656	1522	794
657	1524	792
658	1526	789
659	1528	787
660	1530	784
661	1532	782
662	1534	780
663	1537	777
664	1539	775
665	1541	773
666	1543	770
667	1545	768
668	1547	765
669	1549	763
670	1552	761
671	1554	758
672	1556	756
673	1558	753
674	1559	751
675	1561	748
676	1563	745
677	1565	743
678	1568	741
679	1570	738
680	1572	736
681	1574	734
682	1576	731
683	1578	729
684	1580	726
685	1582	724
686	1584	721
687	1586	719
688	1588	717
689	1590	714
690	1592	712
691	1594	709
692	1596	707
693	1599	705
694	1601	702
695	1602	700
696	1604	697
697	1606	695
698	1608	692
699	1610	690
700	1612	687
701	1615	685
702	1617	683
703	1619	680
704	1621	678
705	1623	675
706	1625	673
707	1626	670
708	1629	668
709	1631	666
710	1633	664
711	1635	661
712	1637	659
713	1639	656
714	1641	654
715	1643	651
716	1645	649
717	1648	647
718	1650	644
719	1651	642
720	1653	639
721	1656	637
722	1658	635
723	1661	633
724	1663	630
725	1665	628
726	1667	626
727	1669	623
728	1671	621
729	1673	619
730	1676	616
731	1678	614
732	1681	612
733	1683	610
734	1685	607
735	1687	605
736	1689	603
737	1692	600
738	1694	598
739	1696	596
740	1698	593
741	1701	591
742	1703	589
743	1706	587
744	1708	584
745	1710	582
746	1712	580
747	1714	577
748	1716	575
749	1719	573
750	1721	570
751	1723	568
752	1726	566
753	1728	563
754	1730	561
755	1732	559
756	1734	556
757	1736	554
758	1739	552
759	1741	549
760	1743	547
761	1746	545
762	1748	543
763	1751	540
764	1753	538
765	1755	536
766	1757	534
767	1760	531
768	1762	529
769	1765	527
770	1767	525
771	1770	522
772	1772	520
773	1774	518
774	1776	515
775	1778	513
776	1780	510
777	1782	508
778	1784	506
779	1787	504
780	1789	501
781	1791	499
782	1793	497
783	1795	494
784	1798	492
785	1800	490
786	1803	488
787	1805	485
788	1807	483
789	1809	480
790	1811	478
791	1813	476
792	1815	473
793	1817	471
794	1819	469
795	1821	466
796	1823	464
797	1825	462
798	1827	459
799	1830	457
800	1832	455
801	1834	452
802	1836	450
803	1838	448
804	1841	445
805	1843	443
806	1845	441
807	1848	439
808	1850	436
809	1852	434
810	1854	432
811	1857	429
812	1858	427
813	1861	425
814	1863	423
815	1865	420
816	1868	418
817	1869	416
818	1871	413
819	1873	411
820	1876	409
821	1878	406
822	1880	404
823	1883	402
824	1885	399
825	1887	397
826	1889	395
827	1891	392
828	1893	390
829	1895	388
830	1898	386
831	1900	383
832	1902	381
833	1904	378
834	1905	376
835	1907	374
836	1910	371
837	1912	369
838	1914	367
839	1915	364
840	1917	362
841	1919	360
842	1922	357
843	1924	355
844	1926	353
845	1928	351
846	1931	348
847	1933	346
848	1935	344
849	1937	341
850	1939	339
851	1941	337
852	1943	334
853	1945	332
854	1947	330
855	1949	327
856	1951	325
857	1953	323
858	1955	320
859	1957	318
860	1959	316
861	1961	314
862	1963	311
863	1965	309
864	1967	307
865	1969	304
866	1970	302
867	1973	300
868	1975	297
869	1977	295
870	1979	293
871	1981	290
872	1983	288
873	1985	286
874	1987	283
875	1989	281
876	1990	279
877	1992	276
878	1994	274
879	1996	272
880	1998	269
881	2000	267
882	2002	265
883	2004	262
884	2006	260
885	2008	258
886	2010	256
887	2011	253
888	2013	251
889	2015	249
890	2017	246
891	2019	244
892	2021	242
893	2023	239
894	2025	237
895	2027	235
896	2029	233
897	2031	230
898	2033	228
899	2035	226
900	2037	223
901	2038	221
902	2040	219
903	2042	216
904	2044	214
905	2046	212
906	2047	209
907	2049	207
908	2051	205
909	2053	203
910	2055	200
911	2057	198
912	2059	196
913	2061	193
914	2063	191
915	2064	189
916	2066	187
917	2068	184
918	2070	182
919	2072	180
920	2074	177
921	2075	175
922	2077	173
923	2079	171
924	2081	168
925	2083	166
926	2085	164
927	2087	161
928	2089	159
929	2091	157
930	2092	155
931	2094	152
932	2096	150
933	2098	148
934	2100	146
935	2102	143
936	2104	141
937	2106	139
938	2107	136
939	2109	134
940	2111	132
941	2113	130
942	2115	127
943	2117	125
944	2119	123
945	2121	121
946	2123	118
947	2125	116
948	2126	114
949	2128	112
950	2130	109
951	2132	107
952	2133	105
953	2135	102
954	2137	100
955	2139	98
956	2142	96
957	2144	94
958	2147	91
959	2149	89
960	2151	87
961	2153	85
962	2155	82
963	2157	80
964	2159	78
965	2161	76
966	2163	73
967	2165	71
968	2166	69
969	2168	67
970	2170	64
971	2172	62
972	2174	60
973	2176	58
974	2178	55
975	2180	53
976	2182	51
977	2184	49
978	2186	46
979	2188	44
980	2190	42
981	2192	40
982	2194	37
983	2196	35
984	2198	33
985	2200	31
986	2202	29
987	2204	26
988	2206	24
989	2208	22
990	2210	20
991	2212	17
992	2214	15
993	2216	13
994	2218	11
995	2220	8
996	2222	6
997	2225	4
998	2227	2
999	2229	0
