iter	Logloss
0	0.4184354186
1	0.28260124
2	0.1888566676
3	0.1335425994
4	0.1034610626
5	0.08596735349
6	0.07459071836
7	0.06353407687
8	0.05821506041
9	0.05334081146
10	0.04744771107
11	0.04425212019
12	0.04209505339
13	0.03959589949
14	0.03717108005
15	0.03515266814
16	0.03411222569
17	0.03225694631
18	0.03039271219
19	0.02877914559
20	0.02687888904
21	0.02570477354
22	0.02473206224
23	0.02378590485
24	0.02278776714
25	0.02221001286
26	0.0209503439
27	0.02013942533
28	0.01925628806
29	0.01871037357
30	0.01805738969
31	0.01741640913
32	0.01667865326
33	0.016205451
34	0.01553896359
35	0.01483162579
36	0.01458795441
37	0.0139216979
38	0.01324106968
39	0.01283631016
40	0.01240814391
41	0.0121057152
42	0.01182113815
43	0.01118277163
44	0.01092568385
45	0.0106486288
46	0.01037395243
47	0.01024277171
48	0.009937870916
49	0.009694513251
50	0.009584576143
51	0.009266918579
52	0.008991332622
53	0.008910960907
54	0.008815617905
55	0.008312662703
56	0.00822222959
57	0.008006733755
58	0.007889920717
59	0.007795352036
60	0.007592898985
61	0.007483678697
62	0.007243611372
63	0.007069035643
64	0.006925240266
65	0.006833993804
66	0.006582682597
67	0.006420835038
68	0.006269822006
69	0.006167543489
70	0.006105535889
71	0.005973658909
72	0.005772853114
73	0.005555592638
74	0.005461849223
75	0.00539829328
76	0.005310663094
77	0.005153608933
78	0.005037302972
79	0.004995324916
80	0.00490909083
81	0.004856691775
82	0.004756133804
83	0.004719893287
84	0.004649159313
85	0.004616552053
86	0.004537125969
87	0.004516666213
88	0.004472798982
89	0.004398409704
90	0.004235973734
91	0.00418731817
92	0.004137854321
93	0.004092410444
94	0.003987699626
95	0.003905966966
96	0.003880629499
97	0.003857190145
98	0.00382134796
99	0.00374581314
100	0.003711322962
101	0.003637838498
102	0.003610983375
103	0.00358767362
104	0.003552148134
105	0.003525067478
106	0.003499737161
107	0.003470148827
108	0.003465308059
109	0.003460551008
110	0.003433743852
111	0.003433366077
112	0.003395600157
113	0.00336187685
114	0.003332501536
115	0.0033006105
116	0.003272050323
117	0.003197280886
118	0.00317400152
119	0.003136728973
120	0.003058302146
121	0.003058218725
122	0.003007637937
123	0.002959755502
124	0.002942736243
125	0.002921566223
126	0.002921558477
127	0.002921547155
128	0.002883303951
129	0.002857474601
130	0.002845443885
131	0.002809557011
132	0.002801029357
133	0.002773699631
134	0.002698662951
135	0.002674108742
136	0.002632314807
137	0.002608803055
138	0.002587094079
139	0.002550431096
140	0.00255020318
141	0.002544391755
142	0.00253783044
143	0.0025280485
144	0.002489473998
145	0.002489449716
146	0.002453569545
147	0.002446660695
148	0.002440068544
149	0.002418016948
150	0.002411603108
151	0.002406312018
152	0.002406313061
153	0.002386198011
154	0.002386194138
155	0.002384178492
156	0.002378216314
157	0.002378167752
158	0.002352862759
159	0.002352672381
160	0.002347765621
161	0.00234774566
162	0.002347708419
163	0.00234766507
164	0.002315544479
165	0.002315500683
166	0.002315469698
167	0.002314403406
168	0.002314162977
169	0.002310092804
170	0.002293034369
171	0.002270566266
172	0.002270473163
173	0.002250692391
174	0.002232034964
175	0.002219232162
176	0.002194508431
177	0.002169641544
178	0.002151259554
179	0.002127562192
180	0.002111292973
181	0.00211120702
182	0.002095763663
183	0.002077035031
184	0.00203587807
185	0.002035803886
186	0.002030919917
187	0.002006794132
188	0.002005531504
189	0.002002506024
190	0.001989077717
191	0.001989054777
192	0.001968569548
193	0.001968016739
194	0.001968000353
195	0.001967998863
196	0.001946792495
197	0.001946765235
198	0.001946229258
199	0.001931923399
200	0.001914236479
201	0.001912181059
202	0.001899173281
203	0.00186287854
204	0.001862795269
205	0.001862716317
206	0.001862597294
207	0.001862495998
208	0.001862372655
209	0.001859649723
210	0.001845998266
211	0.001842707926
212	0.001842697499
213	0.001840136193
214	0.001836796993
215	0.0018367672
216	0.001836772413
217	0.001836759602
218	0.001836761241
219	0.00183673264
220	0.001836768093
221	0.001836683481
222	0.001836657859
223	0.001836648326
224	0.001836629556
225	0.001836602593
226	0.001836603338
227	0.001836589037
228	0.001836574886
229	0.0018365728
230	0.001836561181
231	0.001836558649
232	0.001836550009
233	0.001836545838
234	0.001836525578
235	0.001836496232
236	0.001836496381
237	0.001836504872
238	0.001836464354
239	0.00183648357
240	0.001836466886
241	0.001836450351
242	0.001836451096
243	0.001836438583
244	0.001836426666
245	0.001836427261
246	0.001836419962
247	0.001836433816
248	0.001836417579
249	0.001836421005
250	0.001836408194
251	0.001836407598
252	0.001836405215
253	0.001836396575
254	0.00183639866
255	0.001836403129
256	0.001836373336
257	0.001836411322
258	0.001836387935
259	0.001836357099
260	0.001836360972
261	0.001836369612
262	0.001836340862
263	0.001836345033
264	0.001836340862
265	0.001836347118
266	0.001836331328
267	0.00183633818
268	0.001836332371
269	0.001836319411
270	0.001836314197
271	0.00183631658
272	0.001836316431
273	0.001836317325
274	0.001836294087
275	0.00183627919
276	0.001836265634
277	0.001836259527
278	0.001836257441
279	0.001836246567
280	0.001836241204
281	0.001836257441
282	0.001836247014
283	0.001836225712
284	0.001836216476
285	0.001836212454
286	0.001836201132
287	0.001836215135
288	0.00183620143
289	0.001836182065
290	0.001836122479
291	0.001836096261
292	0.001836105497
293	0.001836085833
294	0.001836001817
295	0.001835927782
296	0.001835912438
297	0.001835901862
298	0.001835910353
299	0.001835912438
